interrobang, 0x2049
tm, 0x2122
information_source, 0x2139
left_right_arrow, 0x2194
arrow_up_down, 0x2195
arrow_upper_left, 0x2196
arrow_upper_right, 0x2197
arrow_lower_right, 0x2198
arrow_lower_left, 0x2199
keyboard, 0x2328
sunny, 0x2600
cloud, 0x2601
umbrella2, 0x2602
snowman2, 0x2603
comet, 0x2604
ballot_box_with_check, 0x2611
umbrella, 0x2614
coffee, 0x2615
shamrock, 0x2618
skull_crossbones, 0x2620
radioactive, 0x2622
biohazard, 0x2623
orthodox_cross, 0x2626
wheel_of_dharma, 0x2638
frowning2, 0x2639
female_sign, 0x2640
male_sign, 0x2642
aries, 0x2648
taurus, 0x2649
sagittarius, 0x2650
capricorn, 0x2651
aquarius, 0x2652
pisces, 0x2653
spades, 0x2660
clubs, 0x2663
hearts, 0x2665
diamonds, 0x2666
hotsprings, 0x2668
hammer_pick, 0x2692
anchor, 0x2693
crossed_swords, 0x2694
medical_symbol, 0x2695
scales, 0x2696
alembic, 0x2697
gear, 0x2699
scissors, 0x2702
white_check_mark, 0x2705
airplane, 0x2708
envelope, 0x2709
black_nib, 0x2712
heavy_check_mark, 0x2714
heavy_multiplication_x, 0x2716
star_of_david, 0x2721
sparkles, 0x2728
eight_spoked_asterisk, 0x2733
eight_pointed_black_star, 0x2734
snowflake, 0x2744
sparkle, 0x2747
question, 0x2753
grey_question, 0x2754
grey_exclamation, 0x2755
exclamation, 0x2757
heart_exclamation, 0x2763
heart, 0x2764
heavy_plus_sign, 0x2795
heavy_minus_sign, 0x2796
heavy_division_sign, 0x2797
arrow_heading_up, 0x2934
arrow_heading_down, 0x2935
wavy_dash, 0x3030
congratulations, 0x3297
secret, 0x3299
grinning, 0x1f600
smiley, 0x1f603
smile, 0x1f604
grin, 0x1f601
laughing, 0x1f606
sweat_smile, 0x1f605
joy, 0x1f602
rofl, 0x1f923
relaxed, 0x263a
blush, 0x1f60a
innocent, 0x1f607
slight_smile, 0x1f642
upside_down, 0x1f643
wink, 0x1f609
relieved, 0x1f60c
heart_eyes, 0x1f60d
kissing_heart, 0x1f618
kissing, 0x1f617
kissing_smiling_eyes, 0x1f619
kissing_closed_eyes, 0x1f61a
yum, 0x1f60b
stuck_out_tongue_winking_eye, 0x1f61c
stuck_out_tongue_closed_eyes, 0x1f61d
stuck_out_tongue, 0x1f61b
money_mouth, 0x1f911
hugging, 0x1f917
nerd, 0x1f913
sunglasses, 0x1f60e
clown, 0x1f921
cowboy, 0x1f920
smirk, 0x1f60f
unamused, 0x1f612
disappointed, 0x1f61e
pensive, 0x1f614
worried, 0x1f61f
confused, 0x1f615
slight_frown, 0x1f641
persevere, 0x1f623
confounded, 0x1f616
tired_face, 0x1f62b
weary, 0x1f629
triumph, 0x1f624
angry, 0x1f620
rage, 0x1f621
no_mouth, 0x1f636
neutral_face, 0x1f610
expressionless, 0x1f611
hushed, 0x1f62f
frowning, 0x1f626
anguished, 0x1f627
open_mouth, 0x1f62e
astonished, 0x1f632
dizzy_face, 0x1f635
flushed, 0x1f633
scream, 0x1f631
fearful, 0x1f628
cold_sweat, 0x1f630
cry, 0x1f622
disappointed_relieved, 0x1f625
drooling_face, 0x1f924
sob, 0x1f62d
sweat, 0x1f613
sleepy, 0x1f62a
sleeping, 0x1f634
rolling_eyes, 0x1f644
thinking, 0x1f914
lying_face, 0x1f925
grimacing, 0x1f62c
zipper_mouth, 0x1f910
nauseated_face, 0x1f922
sneezing_face, 0x1f927
mask, 0x1f637
thermometer_face, 0x1f912
head_bandage, 0x1f915
smiling_imp, 0x1f608
imp, 0x1f47f
japanese_ogre, 0x1f479
japanese_goblin, 0x1f47a
poop, 0x1f4a9
ghost, 0x1f47b
skull, 0x1f480
alien, 0x1f47d
space_invader, 0x1f47e
robot, 0x1f916
jack_o_lantern, 0x1f383
smiley_cat, 0x1f63a
smile_cat, 0x1f638
joy_cat, 0x1f639
heart_eyes_cat, 0x1f63b
smirk_cat, 0x1f63c
kissing_cat, 0x1f63d
scream_cat, 0x1f640
crying_cat_face, 0x1f63f
pouting_cat, 0x1f63e
open_hands, 0x1f450
open_hands_tone1, 0x1f450,0x1f3fb
open_hands_tone2, 0x1f450,0x1f3fc
open_hands_tone3, 0x1f450,0x1f3fd
open_hands_tone4, 0x1f450,0x1f3fe
open_hands_tone5, 0x1f450,0x1f3ff
raised_hands, 0x1f64c
raised_hands_tone1, 0x1f64c,0x1f3fb
raised_hands_tone2, 0x1f64c,0x1f3fc
raised_hands_tone3, 0x1f64c,0x1f3fd
raised_hands_tone4, 0x1f64c,0x1f3fe
raised_hands_tone5, 0x1f64c,0x1f3ff
clap, 0x1f44f
clap_tone1, 0x1f44f,0x1f3fb
clap_tone2, 0x1f44f,0x1f3fc
clap_tone3, 0x1f44f,0x1f3fd
clap_tone4, 0x1f44f,0x1f3fe
clap_tone5, 0x1f44f,0x1f3ff
pray, 0x1f64f
pray_tone1, 0x1f64f,0x1f3fb
pray_tone2, 0x1f64f,0x1f3fc
pray_tone3, 0x1f64f,0x1f3fd
pray_tone4, 0x1f64f,0x1f3fe
pray_tone5, 0x1f64f,0x1f3ff
handshake, 0x1f91d
thumbsup, 0x1f44d
thumbsup_tone1, 0x1f44d,0x1f3fb
thumbsup_tone2, 0x1f44d,0x1f3fc
thumbsup_tone3, 0x1f44d,0x1f3fd
